No,Kecamatan,Desa,Latitude,Longitude,jarak_ke_pusat_kab_km,jarak_ke_centroid_kec_km,jarak_tetangga_terdekat_km,kepadatan_desa_10km,cluster_kmeans,cluster_dbscan,label_prioritas_geografis
1,Anggana,Anggana,-0.564736641065,117.285371157394,37.76188118073556,10.747196240239036,2.9277411000073794,5,1,0,Dekat Pusat Kota/Infrastruktur
2,Anggana,Handil Terusan,-0.524289,117.393384,47.47728388165882,3.9949947721475425,9.293138887131875,1,0,0,Cukup Terjangkau
3,Anggana,Kutai Lama,-0.492036,117.31628,38.29171713935602,10.362950133600288,4.846508085112593,3,0,0,Cukup Terjangkau
4,Anggana,Muara Pantuan,-0.571931,117.495845,59.888158777016145,12.769369722210218,9.358680473105625,1,0,0,Cukup Terjangkau
5,Anggana,Sepatin,-0.735699,117.495361,67.44400066203974,23.419888500154922,18.21025026351938,0,2,-1,Terpencil (Prioritas Sedang)
6,Anggana,Sidomulyo,-0.521701,117.284346,35.79784604694439,11.576411096580102,4.786702349143226,3,0,0,Cukup Terjangkau
7,Anggana,Sungai Mariam,-0.563116,117.25909,35.07889155120813,13.656043182438394,2.9277411000073794,4,0,0,Cukup Terjangkau
8,Anggana,Tani Baru,-0.492914,117.524829,61.12436587296927,17.485371204654886,9.358680473105625,1,0,0,Cukup Terjangkau
9,Kembang Janggut,Bukit Layang,0.225426,116.244528,108.47652933174433,2.619849534030514,6.205809341156115,2,0,0,Cukup Terjangkau
10,Kembang Janggut,Genting Tanah,0.083125,116.451164,80.81614788634846,25.51528077674589,4.283629917480311,1,0,0,Cukup Terjangkau
11,Kembang Janggut,Hambau,0.184871,116.433536,90.2578124253232,18.87553283766829,7.2394384177635525,2,0,0,Cukup Terjangkau
12,Kembang Janggut,Kelekat,0.269901,116.31794,105.95210318259765,7.809847213109368,7.538008905040704,2,0,0,Cukup Terjangkau
13,Kembang Janggut,Kembang Janggut,0.219847507189,116.363659777873,98.41750970819456,10.676849436241248,7.538008905040704,2,0,0,Cukup Terjangkau
14,Kembang Janggut,Loa Sakoh,0.120136,116.440475,84.52925035336679,22.244037886104753,4.283629917480311,2,0,0,Cukup Terjangkau
15,Kembang Janggut,Long Beleh Haloq,0.237127,116.00264,130.6938824803444,29.522376441311984,11.345367559505481,0,3,1,Sangat Terpencil (Prioritas Tinggi)
16,Kembang Janggut,Long Beleh Modang,0.315007,116.1473,123.17155691908496,16.98900622538194,10.05630947337565,0,3,2,Sangat Terpencil (Prioritas Tinggi)
17,Kembang Janggut,Muai,0.3517534,116.2559241,117.29578172954604,14.611249572047095,11.418843772445435,0,3,2,Sangat Terpencil (Prioritas Tinggi)
18,Kembang Janggut,Perdana,0.221411,116.188862,112.94013458224188,8.760446536080265,6.205809341156115,1,3,0,Sangat Terpencil (Prioritas Tinggi)
19,Kembang Janggut,Pulau Pinang,0.201021,116.09807,119.66443712907527,18.984590465631708,10.34700146139369,0,3,2,Sangat Terpencil (Prioritas Tinggi)
20,Kenohan,Kahala,-0.0382201,116.3142667,85.11039551564367,2.697171218123659,2.880532555648223,1,0,0,Cukup Terjangkau
21,Kenohan,Kahala Ilir,-0.0588779,116.329898,82.475160411073,2.5706651041790693,2.880532555648223,2,0,0,Cukup Terjangkau
22,Kenohan,Lamin Pulut,0.055617,116.258912,95.79350684686484,13.61504574263514,7.0420502884282365,1,0,0,Cukup Terjangkau
23,Kenohan,Lamin Telihan,0.084906,116.080425,114.48701044454583,31.758212170343665,13.059623875240334,0,2,1,Terpencil (Prioritas Sedang)
24,Kenohan,Semayang,-0.179795,116.423275,67.26090867167672,18.424440109005175,7.98694081017542,3,0,0,Cukup Terjangkau
25,Kenohan,Teluk Bingkai,0.081183,116.316853,92.13667615472693,13.406463445548175,7.0420502884282365,1,0,0,Cukup Terjangkau
26,Kenohan,Teluk Muda,-0.127019,116.490563,63.1944122937377,19.62441133652818,6.300321442017736,3,0,0,Cukup Terjangkau
27,Kenohan,Tuana Tuha,-0.031192,116.45362,72.48054044040087,12.818401789920163,11.419884760570186,0,0,0,Cukup Terjangkau
28,Kenohan,Tubuhan,-0.123411,116.378776,74.35549232917433,10.5578144257258,7.98694081017542,2,0,0,Cukup Terjangkau
29,Kota Bangun,Benua Baru,-0.4876314,116.6929776,33.00411240213272,21.02948577517314,9.013690538072241,3,0,0,Cukup Terjangkau
30,Kota Bangun,Kedang Ipil,-0.430036,116.628787,39.16701753464919,12.385651941181637,6.026294006144802,6,1,0,Dekat Pusat Kota/Infrastruktur
31,Kota Bangun,Kedang Murung,-0.3229781,116.589428,44.686017377411495,1.368908355662793,3.9875940358303836,10,1,0,Dekat Pusat Kota/Infrastruktur
32,Kota Bangun,Kota Bangun I,-0.358825,116.590444,43.83602569197467,4.282513191735521,0.0,9,1,0,Dekat Pusat Kota/Infrastruktur
33,Kota Bangun,Kota Bangun II,-0.393841,116.554731,47.42116877010433,9.544726612213726,2.148597052362939,8,1,0,Dekat Pusat Kota/Infrastruktur
34,Kota Bangun,Kota Bangun III,-0.407393,116.540957,48.902682456710835,11.653051275643834,2.148597052362939,7,1,0,Dekat Pusat Kota/Infrastruktur
35,Kota Bangun,Kota Bangun Ilir,-0.2586242,116.5758869,48.24213929146755,7.60841263501543,2.677350789885104,7,1,0,Dekat Pusat Kota/Infrastruktur
36,Kota Bangun,Kota Bangun Seberang,-0.283134,116.564231,48.56425301564988,6.002324806771586,3.017846005301308,9,1,0,Dekat Pusat Kota/Infrastruktur
37,Kota Bangun,Kota Bangun Ulu,-0.260339,116.599904,45.68850456732337,6.858496509763199,2.677350789885104,7,1,0,Dekat Pusat Kota/Infrastruktur
38,Kota Bangun,Liang,-0.358825,116.590444,43.83602569197467,4.282513191735521,0.0,9,1,0,Dekat Pusat Kota/Infrastruktur
39,Kota Bangun,Liang Ulu,-0.227043,116.564477,50.76765663477341,11.340221906489802,3.73382508587699,7,1,0,Dekat Pusat Kota/Infrastruktur
40,Kota Bangun,Loleng,-0.262729,116.683746,37.09208914279041,11.254132644655064,6.592477659434669,2,0,0,Cukup Terjangkau
41,Kota Bangun,Muhuran,-0.183178,116.558214,53.56915906106149,16.175138700359557,3.534928599801479,7,1,0,Dekat Pusat Kota/Infrastruktur
42,Kota Bangun,Pela,-0.231236,116.509433,56.23258137968018,14.390926391372831,3.403394241524199,6,1,0,Dekat Pusat Kota/Infrastruktur
43,Kota Bangun,Sangkuliman,-0.2611502,116.5159105,54.42865884749792,11.694724534232405,3.403394241524199,7,1,0,Dekat Pusat Kota/Infrastruktur
44,Kota Bangun,Sari Nadi,-0.414913,116.728799,28.009389173857247,17.506669901020523,6.6939487889975595,5,0,0,Cukup Terjangkau
45,Kota Bangun,Sebelimbingan,-0.166648,116.531059,57.10065782997356,18.97560437223338,3.534928599801479,4,0,0,Cukup Terjangkau
46,Kota Bangun,Sedulang,-0.3664414,116.6667682,35.31686048396281,8.76216654341718,3.853450337467909,8,1,0,Dekat Pusat Kota/Infrastruktur
47,Kota Bangun,Sukabumi,-0.3614806,116.7010669,31.651198260949375,11.889435003085003,3.853450337467909,5,1,0,Dekat Pusat Kota/Infrastruktur
48,Kota Bangun,Sumber Sari,-0.3198809,116.6679763,36.33586380778732,7.373258806000067,5.1790338083925285,7,1,0,Dekat Pusat Kota/Infrastruktur
49,Kota Bangun,Wonosari,-0.405522,116.580451,44.51621775152073,9.583823300420505,3.1409997753352252,7,1,0,Dekat Pusat Kota/Infrastruktur
50,Loa Janan,Bakungan,-0.845705,116.911993,48.53061377022354,20.44427839438175,10.525074685113434,0,0,0,Cukup Terjangkau
51,Loa Janan,Batuah,-0.787638,117.04294,42.04228994561163,7.555903801006648,6.577253321059319,3,0,0,Cukup Terjangkau
52,Loa Janan,Loa Duri Ilir,-0.7448139,117.0021332,36.78427009356142,5.612251443050651,4.848566246307545,2,0,0,Cukup Terjangkau
53,Loa Janan,Loa Duri Ulu,-0.767012,116.964599,39.21619153677577,10.460543304832802,4.848566246307545,2,0,0,Cukup Terjangkau
54,Loa Janan,Loa Janan Ulu,-0.60203,117.109743,25.293680597973434,14.888481069604698,4.013252178668812,2,0,0,Cukup Terjangkau
55,Loa Janan,Purwajaya,-0.6364714,117.0989523,27.946222129475455,10.976742261920649,2.080817256411552,2,0,0,Cukup Terjangkau
56,Loa Janan,Tani Bhakti,-0.643077,117.116462,29.542250847576746,11.582837416178416,2.080817256411552,3,0,0,Cukup Terjangkau
57,Loa Janan,Tani Harapan,-0.7312743,117.1207574,38.49229670856688,8.415900946727886,9.065052484449012,2,0,0,Cukup Terjangkau
58,Loa Kulu,Jembayan,-0.60546,116.987127,21.223578657055306,8.967282415442186,6.177845402857688,4,0,0,Cukup Terjangkau
59,Loa Kulu,Jembayan Dalam,-0.570557,116.943898,17.807057977903785,2.840565681872154,3.0173462334484937,5,1,0,Dekat Pusat Kota/Infrastruktur
60,Loa Kulu,Jembayan Tengah,-0.553358,116.964888,15.517984999287998,4.093363798072451,3.0173462334484937,7,1,0,Dekat Pusat Kota/Infrastruktur
61,Loa Kulu,Jonggon Desa,-0.720189,116.682996,47.42985647990084,33.16124605599095,17.00083098804322,0,2,0,Terpencil (Prioritas Sedang)
62,Loa Kulu,Jonggon Jaya,-0.536454,116.766806,27.36649479299778,18.01147538408659,7.050714570334343,2,0,0,Cukup Terjangkau
63,Loa Kulu,Jongkang,-0.4710296,117.0251828,7.980995977708466,13.936036886475037,1.5611117130002736,11,1,0,Dekat Pusat Kota/Infrastruktur
64,Loa Kulu,Loa Kulu Kota,-0.525374,117.026005,13.297508586013738,11.226436390589493,3.264698209358327,9,1,0,Dekat Pusat Kota/Infrastruktur
65,Loa Kulu,Loh Sumber,-0.5309784,116.9940897,13.01500307763872,7.6390677435812595,2.1619494930106944,10,1,0,Dekat Pusat Kota/Infrastruktur
66,Loa Kulu,Lung Anai,-0.614172,116.884485,24.625509075200643,8.595747134143332,8.19514555103254,2,0,0,Cukup Terjangkau
67,Loa Kulu,Margahayu,-0.4797651,116.7952152,21.856515734161622,16.74286952927447,7.050714570334343,1,0,0,Cukup Terjangkau
68,Loa Kulu,Ponoragan,-0.500467,117.007774,10.000704350478092,10.446976219243071,1.4280519878776976,9,1,0,Dekat Pusat Kota/Infrastruktur
69,Loa Kulu,Rempanga,-0.4732723,117.0113232,7.349335548473203,12.609875991735127,1.5611117130002736,10,1,0,Dekat Pusat Kota/Infrastruktur
70,Loa Kulu,Sepakat,-0.4966282,117.0200301,10.10528128143696,11.833722309105088,1.4280519878776976,10,1,0,Dekat Pusat Kota/Infrastruktur
71,Loa Kulu,Sumber Sari,-0.5127882,116.9872234,10.931002504725146,7.78342937847951,2.1619494930106944,9,1,0,Dekat Pusat Kota/Infrastruktur
72,Loa Kulu,Sungai Payang,-0.665644,116.825838,32.78892351370373,17.137823944481024,8.676345789704577,1,0,0,Cukup Terjangkau
73,Marang Kayu,Bunga Putih,-0.156207,117.4105124,55.7698186653978,6.330369440356454,5.14895886415316,3,0,0,Cukup Terjangkau
74,Marang Kayu,Kersik,-0.050412,117.486078,69.27252965875451,12.81298894876843,4.3932185299881255,4,0,0,Cukup Terjangkau
75,Marang Kayu,Makarti,-0.12602,117.285323,46.66598869756482,11.298220714960543,5.9561130649715635,1,0,0,Cukup Terjangkau
76,Marang Kayu,Perangat Baru,-0.226184,117.289662,40.244688074826875,17.097281646069867,4.495580815000102,4,0,0,Cukup Terjangkau
77,Marang Kayu,Perangat Selatan,-0.167613,117.319075,46.58874915543642,10.064123874507452,5.9561130649715635,3,0,0,Cukup Terjangkau
78,Marang Kayu,Sambera Baru,-0.202264,117.383143,50.600966664225936,10.771828272553003,5.957313139304479,3,0,0,Cukup Terjangkau
79,Marang Kayu,Santan Ilir,-0.011736,117.494149,72.5758922454034,16.00871087240421,4.307235007141344,3,0,0,Cukup Terjangkau
80,Marang Kayu,Santan Tengah,-0.017491,117.455843,68.86295114433807,12.567255015753789,4.307235007141344,3,0,0,Cukup Terjangkau
81,Marang Kayu,Santan Ulu,-0.021442,117.259908,53.62864872347797,16.735525123777975,11.967012220691418,0,0,0,Cukup Terjangkau
82,Marang Kayu,Sebuntal,-0.111852,117.423811,59.67964065334027,4.394753669464202,4.853564046629405,3,0,0,Cukup Terjangkau
83,Marang Kayu,Semangko,-0.068235,117.425486,62.69150492202193,6.126380548719884,4.853564046629405,5,1,0,Dekat Pusat Kota/Infrastruktur
84,Muara Badak,Badak Baru,-0.3250178,117.4138222,49.18159043943936,5.751986955356948,1.795277407462016,6,1,0,Dekat Pusat Kota/Infrastruktur
85,Muara Badak,Badak Mekar,-0.297221,117.255889,33.270769202567585,12.288577292203174,4.265218582794993,5,1,0,Dekat Pusat Kota/Infrastruktur
86,Muara Badak,Batu-Batu,-0.3220906,117.3551927,42.8952290192533,0.9852197531699209,5.505854433446493,7,1,0,Dekat Pusat Kota/Infrastruktur
87,Muara Badak,Gas Alam Badak I,-0.3235,117.4346,51.479054833367705,8.068033949490463,2.316505154924456,6,1,0,Dekat Pusat Kota/Infrastruktur
88,Muara Badak,Muara Badak Ilir,-0.339632,117.420685,49.63002020541792,6.6448371522551115,1.795277407462016,6,1,0,Dekat Pusat Kota/Infrastruktur
89,Muara Badak,Muara Badak Ulu,-0.352218,117.475111,55.41204396339209,12.855407774755134,5.521595160822627,4,0,0,Cukup Terjangkau
90,Muara Badak,Saliki,-0.436945,117.417324,48.612003808835816,13.621392018497646,5.661921388332982,1,0,0,Cukup Terjangkau
91,Muara Badak,Salo Cella,-0.268697,117.320841,41.158437993017166,7.997452848371728,5.676416916947248,6,1,0,Dekat Pusat Kota/Infrastruktur
92,Muara Badak,Salo Palai,-0.390911,117.395561,46.205078884806355,7.962631178859124,5.661921388332982,6,1,0,Dekat Pusat Kota/Infrastruktur
93,Muara Badak,Suka Damai,-0.261664,117.270278,36.41909094379547,12.572835204739382,4.265218582794993,5,1,0,Dekat Pusat Kota/Infrastruktur
94,Muara Badak,Sungai Bawang,-0.338704,117.245808,30.665334239999897,12.996136071063956,4.746946081521544,3,0,0,Cukup Terjangkau
95,Muara Badak,Tanah Datar,-0.3337038,117.3070577,37.389477527251344,6.164341002649566,5.505854433446493,5,1,0,Dekat Pusat Kota/Infrastruktur
96,Muara Badak,Tanjung Limau,-0.268108,117.395852,48.95534980079997,7.599725742352124,6.636059511920692,6,1,0,Dekat Pusat Kota/Infrastruktur
97,Muara Jawa,Dondang,-0.773859,117.236976,49.06019145963624,5.024616106804608,1.587810742052779,5,1,0,Dekat Pusat Kota/Infrastruktur
98,Muara Jawa,Muara Jawa Ilir,-0.874372,117.209304,57.08440873438311,6.579238251007174,2.257567503219604,3,0,0,Cukup Terjangkau
99,Muara Jawa,Muara Jawa Pesisir,-0.839536,117.236204,55.12395839628949,2.596339024690071,2.7365879843511216,5,1,0,Dekat Pusat Kota/Infrastruktur
100,Muara Jawa,Muara Jawa Tengah,-0.854371,117.212792,55.28193233321998,4.352845123982444,2.257567503219604,4,1,0,Dekat Pusat Kota/Infrastruktur
101,Muara Jawa,Muara Jawa Ulu,-0.822305,117.21863,52.47949207222492,1.069653160839462,2.7365879843511216,5,1,0,Dekat Pusat Kota/Infrastruktur
102,Muara Jawa,Muara Kembang,-0.795023,117.341911,58.322131370575924,13.004354728599077,10.404386631538427,0,0,0,Cukup Terjangkau
103,Muara Jawa,Tama Pole,-0.772199,117.25116,49.84535834368431,5.744461988474971,1.587810742052779,4,1,0,Dekat Pusat Kota/Infrastruktur
104,Muara Jawa,Teluk Dalam,-0.8121902,117.1108179,46.50648791399426,12.95851103843664,8.025564044972079,2,0,0,Cukup Terjangkau
105,Muara Kaman,Benua Puhun,-0.270528,116.77469,27.95931054015899,22.734885447295415,5.346683412832715,5,0,0,Cukup Terjangkau
106,Muara Kaman,Bukit Jering,-0.159737,116.665439,45.084430775303176,19.763103032760682,7.912103914874425,1,0,0,Cukup Terjangkau
107,Muara Kaman,Bunga Jadi,-0.185068,116.884639,27.678002250692018,14.606071090309227,2.300917087443788,5,1,0,Dekat Pusat Kota/Infrastruktur
108,Muara Kaman,Cipari Makmur,-0.1608217,116.9257361,28.883969053636232,15.471275488416365,3.535306230412607,6,1,0,Dekat Pusat Kota/Infrastruktur
109,Muara Kaman,Kupang Baru,0.0443332,116.6246757,64.59485264401569,25.171920030414725,14.078937622876845,0,2,0,Terpencil (Prioritas Sedang)
110,Muara Kaman,Lebaho Ulaq,-0.3464838,116.7473367,27.034199031018954,31.661539215579847,5.120054394056664,9,1,-1,Dekat Pusat Kota/Infrastruktur
111,Muara Kaman,Liang Buaya,0.0840564,116.7873694,59.47984073450382,17.609784699335695,8.47237373931866,1,0,0,Cukup Terjangkau
112,Muara Kaman,Menamang Kanan,0.371069,117.01693,87.46635009515732,53.84027066973729,13.539758577151042,0,2,-1,Terpencil (Prioritas Sedang)
